Ulrike-Günther-Platz 145
Dietrichstr. 8
Voßring 88
Schulzplatz 183
Wielandallee 668
Artur-Gottschalk-Gasse 670
Lorenz-Kunz-Gasse 43
Ackermannring 9/6
Eberhardtring 610
Hildebrandtring 265
Hermann-Josef-Mayer-Allee 65
Keilring 0
Hellerplatz 2
Sina-Vogt-Weg 121
Otto-Pape-Ring 18
Mannweg 9
Marietta-Beer-Gasse 29
Armin-Ullrich-Platz 10
Neubertweg 6
Cornelius-Winter-Weg 844
Rebecca-Noll-Straße 010
Meinhard-Geisler-Straße 6
Stadlerstraße 90
Waldemar-Bernhardt-Ring 6
Hildebrandtallee 8/0
Hans-Gerd-Stadler-Ring 5/9
Thekla-Fröhlich-Ring 9
Wilma-Popp-Weg 33
Gunther-Jürgens-Straße 016
Lindnerplatz 504
Gabi-Janssen-Gasse 9
Therese-Heß-Allee 4
Ruppring 0/6
Simonallee 1/9
Bärring 23
Gebhard-Henke-Ring 67
Rennerallee 8
Ivan-Rauch-Allee 4/6
Inka-Albrecht-Platz 152
Detlef-Altmann-Platz 7
Krögerplatz 1/2
Meierstraße 20
Krögerallee 366
Ahmet-Wild-Platz 5/3
Opitzweg 71
Wegnerring 6
Wolfgang-Klein-Allee 147
Mathias-Schütz-Straße 1
Moserweg 7
Kühnestr. 9
Edith-Heck-Weg 680
Pia-Wagner-Allee 959
Mehmet-Engelhardt-Gasse 817
Keilstraße 1
Verena-Hofmann-Gasse 4/7
Straubring 736
Lindnerring 8/0
Fleischerstr. 0
Gebhardtgasse 415
Harry-Schüler-Platz 25
Sina-Reimer-Platz 922
Christa-Kremer-Straße 643
Henkelstraße 294
Stumpfring 45
Vossweg 5
Ulrichstraße 0/8
Paula-Schulte-Allee 84
Siegrid-Brückner-Weg 722
Rose-Link-Weg 6/1
Martha-Busse-Gasse 34
Wintergasse 3
Straubplatz 24
Rothstraße 6/3
Borngasse 4
Jahnweg 3
Irmgard-Mayer-Ring 43
Hammerring 46
Münchweg 1
Schäferplatz 71
Hanna-Scharf-Weg 02
Karl-Wilhelm-Löffler-Ring 9
Klugestraße 72
Pieperallee 3/1
Marion-Heinrich-Allee 9/9
Valentina-Niemann-Ring 48
Alfred-Mertens-Gasse 737
Pfeiferallee 9/5
Breuerstr. 4
Annegret-Behrens-Weg 79
Beckerring 38
Huberplatz 6/1
Kesslergasse 7
Diehlring 8
Noltestr. 8/8
Hendrik-Arnold-Ring 7/6
Dagmar-Döring-Allee 94
Theo-Krebs-Platz 59
Roberto-Burkhardt-Allee 1
Schultzgasse 7
Sigurd-Albrecht-Straße 4/2
Reiterring 8/3
Ulrich-Schumacher-Weg 7
Ludger-Rothe-Platz 9/9
Jakob-Schröter-Weg 202
Felicitas-Böttcher-Gasse 331
Sigurd-Franz-Allee 779
Straubstr. 3/5
Neuhausstraße 2
Heide-Steffen-Weg 970
Deckerallee 5/3
Hempelring 9/6
Schulteplatz 6
Maik-Richter-Weg 7
Ferdinand-Stock-Straße 415
Sonntagplatz 1/2
Uwe-Weigel-Straße 59
Tina-Renner-Gasse 3
Anita-Baur-Straße 9
Ida-Krug-Ring 94
Christring 1
Stefanie-Schröter-Allee 874
Brunhild-Hansen-Platz 450
Mollring 5
Rosa-Ulrich-Weg 9/2
Ehrenfried-Münch-Straße 5/8
Auerweg 9/6
Jacqueline-Kunze-Ring 609
Emma-Reichel-Allee 046
Jeannette-Blum-Weg 83
Vera-Wiese-Allee 0/2
Wildring 648
Willibald-Groß-Ring 448
Angela-Wegener-Weg 984
Rennerstraße 3
Beckgasse 400
Tom-Kröger-Gasse 83
Seifertplatz 5
Wiedemannstraße 5
Hansjörg-Löffler-Gasse 1/3
Wilma-Weidner-Straße 314
Franzplatz 689
Doris-Zimmermann-Straße 0
Lucia-Völker-Weg 983
Hempelweg 97
Walter-Bergmann-Weg 9
Meinhard-Schade-Gasse 883
Menzelweg 37
Bernhard-Schröter-Straße 9
Lehmannallee 8
Hans-Wilhelm-Lehmann-Straße 2/8
Glasergasse 2
Wegnerstr. 2
Hummelgasse 4/7
Heinzeplatz 885
Jörn-Stein-Allee 7
Meinolf-Wenzel-Weg 8
Mirko-Scherer-Platz 2
Roland-Sander-Allee 97
Nikola-Meister-Ring 663
Fatma-Schrader-Gasse 4
Burghard-Bode-Weg 2
Schefflerstraße 12
August-Stark-Weg 096
Linkring 173
Maiallee 27
Hedi-Noll-Ring 3/5
Bachgasse 506
Sofia-Link-Allee 8
Heldring 6/7
Benderweg 5/3
Grossweg 662
Antonie-Schulte-Straße 691
Joachim-Pietsch-Platz 4
Mandy-Ullrich-Allee 9/9
Herbstweg 2/8
Kerngasse 74
Behrensstraße 35
Bachstr. 2/1
Schumannring 25
Lorenz-Keller-Ring 3/8
Scholzallee 185
Heineallee 682
Margret-Hartwig-Ring 1
Harald-Wiedemann-Weg 221
Madeleine-Klose-Gasse 01
Moserstr. 1/1
Eugenie-Bode-Allee 44
Jens-Uwe-Herbst-Platz 61
Kühnstr. 3/4
Frauke-Baier-Straße 27
Mayrstr. 10
Wildstr. 4
Urbanstr. 743
Hildebrandtring 764
Frankestraße 3
Bianca-Ackermann-Allee 94
Sina-Seidl-Weg 6
Hans-Falk-Gasse 277
Denise-Schmitz-Allee 5
Kunzestr. 089
Thorsten-Mack-Straße 59
Rohdeplatz 32
Sandra-Barth-Weg 75
Cathrin-Riedel-Ring 449
Singerweg 2
Constanze-Fleischmann-Weg 1/0
Irmgard-Steiner-Ring 2
Arnulf-Hahn-Allee 928
Bartelsallee 4/4
Lisa-Schindler-Ring 3
Rappweg 16
Tatjana-Kraft-Gasse 7/4
Adamstr. 78
Rudolphstraße 7/1
Rauschgasse 3/5
Albert-Klemm-Platz 648
Dieter-Schlüter-Gasse 99
John-Kuhn-Weg 6/5
Beyerstraße 55
Freyweg 6/9
Constanze-Wirth-Straße 1
Brücknerstraße 2/8
Regine-Römer-Weg 74
Hankeplatz 21
Hermine-Reichert-Allee 5
Ibrahim-Bayer-Gasse 4/0
Reichertstraße 81
Krugring 1/2
Giuseppe-Rieger-Gasse 183
Dornweg 0/0
Ewa-Stock-Ring 322
Rolf-Dieter-Schwarz-Weg 1
Lukas-Sauter-Gasse 6
